Gene	Symbol	Name	Annotation	Interpro_Pfam	GO
NVEC200_009089_1.1	Rab6a	Ras family protein	Ras-related protein Rab-6A (Rattus norvegicus OX%3D10116)	"InterPro:IPR001806,Pfam:PF00071"	"GO:0003924,GO:0005525"
NVEC200_009090_1.1	Acsl4	Acyl-CoA synthetase long chain family member 4	Long-chain-fatty-acid--CoA ligase 4 (Rattus norvegicus OX%3D10116)	"InterPro:IPR000873,InterPro:IPR025110,Pfam:PF00501,Pfam:PF13193"	GO:0003824
NVEC200_009091_1.1	RNF13	E3 ubiquitin-protein ligase RNF13	E3 ubiquitin-protein ligase RNF13 (Gallus gallus OX%3D9031)	"InterPro:IPR001841,Pfam:PF13639"	
NVEC200_009092_1.1		Profilin	Similar to Profilin-2 (Acanthamoeba castellanii OX%3D5755)	"InterPro:IPR005455,Pfam:PF00235"	
NVEC200_009093_1.1	gtf2f2	General transcription factor IIF subunit 2	General transcription factor IIF subunit 2 (Xenopus laevis OX%3D8355)	"InterPro:IPR040450,InterPro:IPR040504,Pfam:PF02270,Pfam:PF17683"	
NVEC200_009094_1.1	cwc15-a	Spliceosome-associated protein CWC15 homolog	Protein CWC15 homolog A (Xenopus laevis OX%3D8355)	"InterPro:IPR006973,Pfam:PF04889"	"GO:0000398,GO:0005681"
NVEC200_009095_1.1	RYa-R	Neuropeptide Y receptor	RYamide receptor (Drosophila melanogaster OX%3D7227)	"InterPro:IPR017452,Pfam:PF00001"	GO:0016021
NVEC200_009096_1.1	Znf112	Unknown protein	Zinc finger protein 112 (Mus musculus OX%3D10090)	"InterPro:IPR013087,Pfam:PF00096"	
NVEC200_009097_1.1		NVEC200_009097_1.1	Zinc finger protein 678		
NVEC200_009098_1.1	Ankmy1	Ankyrin repeat and MYND domain-containing protein 1	Ankyrin repeat and MYND domain-containing protein 1 (Mus musculus OX%3D10090)	"InterPro:IPR002893,InterPro:IPR003409,InterPro:IPR020683,Pfam:PF01753,Pfam:PF02493,Pfam:PF12796"	
NVEC200_009099_1.1	GPALPP1	GPALPP motifs-containing protein 1	GPALPP motifs-containing protein 1 (Homo sapiens OX%3D9606)	"InterPro:IPR022226,Pfam:PF12572"	
NVEC200_009100_1.1	pin4	Peptidyl-prolyl cis-trans isomerase	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 (Danio rerio OX%3D7955)	Pfam:PF13616	
NVEC200_009101_1.1	CYP46A1	Cholesterol 24-hydroxylase	Cholesterol 24-hydroxylase (Homo sapiens OX%3D9606)	"InterPro:IPR001128,Pfam:PF00067"	"GO:0005506,GO:0016705,GO:0020037,GO:0055114"
NVEC200_009102_1.1	FSTL1	Follistatin-related protein 1	Follistatin-related protein 1 (Bos taurus OX%3D9913)	"InterPro:IPR002350,Pfam:PF07648"	GO:0005515
NVEC200_009103_1.1	MRE11	Double-strand break repair protein	Double-strand break repair protein MRE11 (Homo sapiens OX%3D9606)	"InterPro:IPR004843,InterPro:IPR007281,Pfam:PF00149,Pfam:PF04152"	"GO:0004519,GO:0005634,GO:0006302,GO:0016787,GO:0030145"
NVEC200_009104_1.1	GSK3B	Glycogen synthase kinase-3 beta	Glycogen synthase kinase-3 beta (Homo sapiens OX%3D9606)	"InterPro:IPR000719,Pfam:PF00069"	"GO:0004672,GO:0005524,GO:0006468"
NVEC200_009105_1.1	Trappc1	Trafficking protein particle complex subunit	Trafficking protein particle complex subunit 1 (Rattus norvegicus OX%3D10116)	"InterPro:IPR007233,Pfam:PF04099"	"GO:0016192,GO:0030008"
NVEC200_009106_1.1	CAJ1	DnaJ homolog subfamily C member 5B	Protein CAJ1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX%3D559292)	"InterPro:IPR001623,Pfam:PF00226"	
NVEC200_009107_1.1	Zdhhc23		Palmitoyltransferase ZDHHC23 (Mus musculus OX%3D10090)	"InterPro:IPR001594,Pfam:PF01529"	GO:0016409
NVEC200_009108_1.1	EIF3F	Eukaryotic translation initiation factor 3 subunit F	Eukaryotic translation initiation factor 3 subunit F (Homo sapiens OX%3D9606)	"InterPro:IPR000555,InterPro:IPR024969,Pfam:PF01398,Pfam:PF13012"	"GO:0005515,GO:0008237,GO:0070122"
NVEC200_009109_1.1		NVEC200_009109_1.1	Integrase catalytic domain-containing protein	"InterPro:IPR008042,Pfam:PF05380"	
NVEC200_009110_1.1	emc10	ER membrane protein complex subunit 10	ER membrane protein complex subunit 10 (Danio rerio OX%3D7955)		
NVEC200_009111_1.1	BCHE	Carboxylic ester hydrolase	Cholinesterase (Oryctolagus cuniculus OX%3D9986)	"InterPro:IPR002018,Pfam:PF00135"	
NVEC200_009112_1.1	B3GNT4	N-acetyllactosaminide beta-1%2C3-N-acetylglucosaminyltransferase 4 (Homo sapiens OX%3D9606)	N-acetyllactosaminide beta-1%2C3-N-acetylglucosaminyltransferase 4 (Homo sapiens OX%3D9606)	"InterPro:IPR002659,Pfam:PF01762"	"GO:0006486,GO:0016020"
NVEC200_009113_1.1	ADAMTS16	A disintegrin and metalloproteinase with thrombospondin motifs 6	A disintegrin and metalloproteinase with thrombospondin motifs 16 (Homo sapiens OX%3D9606)	"InterPro:IPR000884,InterPro:IPR001590,InterPro:IPR002870,InterPro:IPR010294,InterPro:IPR041645,Pfam:PF00090,Pfam:PF01421,Pfam:PF01562,Pfam:PF05986,Pfam:PF17771,Pfam:PF19030"	"GO:0004222,GO:0006508"
NVEC200_009114_1.1	ADAMTS6	A disintegrin and metalloproteinase with thrombospondin motifs 6	A disintegrin and metalloproteinase with thrombospondin motifs 6 (Homo sapiens OX%3D9606)	"InterPro:IPR000884,InterPro:IPR001590,InterPro:IPR002870,InterPro:IPR041645,Pfam:PF00090,Pfam:PF01421,Pfam:PF01562,Pfam:PF17771,Pfam:PF19030"	"GO:0004222,GO:0006508"
NVEC200_009115_1.1	Kcna3	Potassium channel	Potassium voltage-gated channel subfamily A member 3 (Mus musculus OX%3D10090)	"InterPro:IPR003131,InterPro:IPR005821,Pfam:PF00520,Pfam:PF02214"	"GO:0005216,GO:0006811,GO:0016020,GO:0051260,GO:0055085"
NVEC200_009116_1.1	Iws1	TFIIS N-terminal domain-containing protein	Protein IWS1 homolog (Mus musculus OX%3D10090)	"InterPro:IPR017923,Pfam:PF08711"	GO:0005634
NVEC200_009117_1.1	KCNA1	Potassium voltage-gated channel subfamily A member 1	Potassium voltage-gated channel subfamily A member 1 (Homo sapiens OX%3D9606)	"InterPro:IPR003131,InterPro:IPR005821,Pfam:PF00520,Pfam:PF02214"	"GO:0005216,GO:0006811,GO:0016020,GO:0051260,GO:0055085"
NVEC200_009118_1.1		NVEC200_009118_1.1	V-SNARE coiled-coil homology domain-containing protein		
NVEC200_009119_1.1		NVEC200_009119_1.1	Unknown protein		
NVEC200_009120_1.1	Lrrc74a	leucine-rich repeat-containing protein 74B-like	Leucine-rich repeat-containing protein 74A (Rattus norvegicus OX%3D10116)	"InterPro:IPR001611,Pfam:PF13516"	GO:0005515
NVEC200_009121_1.1	Lrrc74a	leucine-rich repeat-containing protein 74B-like	Leucine-rich repeat-containing protein 74A (Rattus norvegicus OX%3D10116)	"InterPro:IPR001611,InterPro:IPR002048,Pfam:PF13499,Pfam:PF13516"	"GO:0005509,GO:0005515"
NVEC200_009122_1.1	Pole	DNA polymerase epsilon catalytic subunit	DNA polymerase epsilon catalytic subunit A (Mus musculus OX%3D10090)	"InterPro:IPR006133,InterPro:IPR006134,InterPro:IPR013697,Pfam:PF00136,Pfam:PF03104,Pfam:PF08490"	"GO:0000166,GO:0003677,GO:0003887,GO:0005634,GO:0006260,GO:0008270"
NVEC200_009123_1.1	SLC5A6	Sodium-coupled monocarboxylate transporter 1	Sodium-dependent multivitamin transporter (Oryctolagus cuniculus OX%3D9986)	"InterPro:IPR001734,Pfam:PF00474"	"GO:0016020,GO:0022857,GO:0055085"
NVEC200_009124_1.1	CFAP91	Protein MAATS1	Cilia- and flagella-associated protein 91 (Homo sapiens OX%3D9606)	"InterPro:IPR032840,Pfam:PF14738"	
NVEC200_009125_1.1	QtsA-19889	UPF0686 protein C11orf1-like	UPF0686 protein C11orf1 homolog (Macaca fascicularis OX%3D9541)	"InterPro:IPR009524,Pfam:PF06608"	GO:0005634
NVEC200_009126_1.1		NVEC200_009126_1.1	DUF2778 protein-2	"InterPro:IPR021225,Pfam:PF10908"	
NVEC200_009127_1.1		NVEC200_009127_1.1	DUF2778 protein-2	"InterPro:IPR021225,Pfam:PF10908"	
NVEC200_009128_1.1	ORC3	Origin recognition complex subunit 3	Origin recognition complex subunit 3 (Homo sapiens OX%3D9606)	"InterPro:IPR020795,InterPro:IPR040855,Pfam:PF07034,Pfam:PF18137"	"GO:0003677,GO:0005664,GO:0006260"
NVEC200_009129_1.1	Hil	CAP-Gly domain-containing linker protein 1	Hillarin (Drosophila melanogaster OX%3D7227)		
NVEC200_009130_1.1	Npffr2	Neuropeptide FF receptor 2	Neuropeptide FF receptor 2 (Mus musculus OX%3D10090)	"InterPro:IPR017452,Pfam:PF00001"	GO:0016021
NVEC200_009131_1.1	Shox2	Short stature homeobox protein	Short stature homeobox protein 2 (Fragment) (Rattus norvegicus OX%3D10116)	"InterPro:IPR001356,Pfam:PF00046"	GO:0003677
NVEC200_009132_1.1		NVEC200_009132_1.1	Unknown protein		
NVEC200_009133_1.1	HSPB1	Protein lethal(2)essential for life	Heat shock protein beta-1 (Sus scrofa OX%3D9823)	"InterPro:IPR002068,Pfam:PF00011"	
NVEC200_009134_1.1	Ppox	Protoporphyrinogen oxidase	Protoporphyrinogen oxidase (Mus musculus OX%3D10090)	"InterPro:IPR002937,Pfam:PF01593"	"GO:0016491,GO:0055114"
NVEC200_009135_1.1	tmem192	Transmembrane protein 192	Transmembrane protein 192 (Danio rerio OX%3D7955)	"InterPro:IPR029399,Pfam:PF14802"	
NVEC200_009136_1.1	MOGAT2	2-acylglycerol O-acyltransferase 2	2-acylglycerol O-acyltransferase 2 (Homo sapiens OX%3D9606)	"InterPro:IPR007130,Pfam:PF03982"	GO:0016747
NVEC200_009137_1.1	RFC4	Replication factor C subunit 4	Replication factor C subunit 4 (Homo sapiens OX%3D9606)	"InterPro:IPR003959,InterPro:IPR013748,Pfam:PF00004,Pfam:PF08542"	GO:0005524
NVEC200_009138_1.1		Profilin	Similar to Profilin-1A (Acanthamoeba castellanii OX%3D5755)	"InterPro:IPR005455,Pfam:PF00235"	
NVEC200_009139_1.1	Cab39	Protein Mo25	Calcium-binding protein 39 (Mus musculus OX%3D10090)	"InterPro:IPR013878,Pfam:PF08569"	
NVEC200_009140_1.1		NVEC200_009140_1.1	NVEC200_009140_1.1	"InterPro:IPR001547,Pfam:PF00150"	"GO:0004553,GO:0005975"
NVEC200_009141_1.1	Ip6k1	Inositol hexakisphosphate kinase 1 (Rattus norvegicus OX%3D10116)	Inositol hexakisphosphate kinase 1 (Rattus norvegicus OX%3D10116)	"InterPro:IPR005522,Pfam:PF03770"	"GO:0016301,GO:0032958"
NVEC200_009142_1.1	NUDT4	"Diphosphoinositol polyphosphate phosphohydrolase,putative"	Diphosphoinositol polyphosphate phosphohydrolase 2 (Pongo abelii OX%3D9601)	"InterPro:IPR000086,Pfam:PF00293"	GO:0016787
NVEC200_009143_1.1	TMEM164	Transmembrane protein 164	Transmembrane protein 164 (Homo sapiens OX%3D9606)	"InterPro:IPR026508,Pfam:PF14808"	
NVEC200_009144_1.1	rnf168	E3 ubiquitin-protein ligase RNF168	E3 ubiquitin-protein ligase rnf168 (Xenopus laevis OX%3D8355)	Pfam:PF13923	
NVEC200_009145_1.1		NVEC200_009145_1.1	Unknown protein	"InterPro:IPR025048,Pfam:PF13148"	
NVEC200_009146_1.1	Cog3	Component of oligomeric golgi complex 3	Conserved oligomeric Golgi complex subunit 3 (Mus musculus OX%3D10090)	"InterPro:IPR007265,Pfam:PF04136"	"GO:0005801,GO:0006886,GO:0016020"
NVEC200_009147_1.1		NVEC200_009147_1.1	Unknown protein		
NVEC200_009148_1.1		NVEC200_009148_1.1	Unknown protein		
NVEC200_009149_1.1		NVEC200_009149_1.1	Unknown protein		
NVEC200_009150_1.1		NVEC200_009150_1.1	Unknown protein		
NVEC200_009151_1.1		NVEC200_009151_1.1	Unknown protein		
NVEC200_009152_1.1		NVEC200_009152_1.1	Dimer_Tnp_hAT domain-containing protein		
NVEC200_009153_1.1	CYP17A1	Cytochrome P450 2E1	Steroid 17-alpha-hydroxylase/17%2C20 lyase (Squalus acanthias OX%3D7797)	"InterPro:IPR001128,Pfam:PF00067"	"GO:0005506,GO:0016705,GO:0020037,GO:0055114"
NVEC200_009154_1.1	Tnik	Non-specific serine/threonine protein kinase	Traf2 and NCK-interacting protein kinase (Mus musculus OX%3D10090)	"InterPro:IPR000719,InterPro:IPR001180,Pfam:PF00069,Pfam:PF00780"	"GO:0004672,GO:0005524,GO:0006468"
NVEC200_009155_1.1		NVEC200_009155_1.1	Peptidyl-prolyl cis-trans isomerase-like 1		
NVEC200_009156_1.1		NVEC200_009156_1.1	Unknown protein		
NVEC200_009157_1.1	rpl8	60S ribosomal protein L8	60S ribosomal protein L8 (Xenopus tropicalis OX%3D8364)	"InterPro:IPR022666,InterPro:IPR022669,Pfam:PF00181,Pfam:PF03947"	"GO:0003735,GO:0005840,GO:0006412"
NVEC200_009158_1.1	TBL1X	Transducin beta like 1 X-linked receptor 1	F-box-like/WD repeat-containing protein TBL1X (Macaca fascicularis OX%3D9541)	"InterPro:IPR001680,InterPro:IPR006594,Pfam:PF00400,Pfam:PF08513"	GO:0005515
NVEC200_009159_1.1	Rxfp3	Somatostatin receptor type 5	Relaxin-3 receptor 1 (Mus musculus OX%3D10090)	"InterPro:IPR017452,Pfam:PF00001"	GO:0016021
NVEC200_009160_1.1	Esd	S-formylglutathione hydrolase	S-formylglutathione hydrolase (Rattus norvegicus OX%3D10116)	"InterPro:IPR000801,Pfam:PF00756"	
NVEC200_009161_1.1	gap1	Ras GTPase-activating protein	GTPase-activating protein (Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX%3D284812)	"InterPro:IPR000593,InterPro:IPR001936,Pfam:PF00616,Pfam:PF03836"	"GO:0005515,GO:0043087"
NVEC200_009162_1.1	SOX2	Transcription factor Sox-3	Transcription factor SOX-2 (Gallus gallus OX%3D9031)	"InterPro:IPR009071,InterPro:IPR022097,Pfam:PF00505,Pfam:PF12336"	GO:0006355
NVEC200_009163_1.1		NVEC200_009163_1.1	GRIP and coiled-coil domain-containing protein 2		
NVEC200_009164_1.1		NVEC200_009164_1.1	Unknown protein		
NVEC200_009165_1.1		NVEC200_009165_1.1	Unknown protein		
NVEC200_009166_1.1	Cyp3a11	Cytochrome P450 3A11	Cytochrome P450 3A11 (Mus musculus OX%3D10090)	"InterPro:IPR001128,Pfam:PF00067"	"GO:0005506,GO:0016705,GO:0020037,GO:0055114"
NVEC200_009167_1.1	CNTN3	Receptor-type tyrosine-protein phosphatase S	Contactin-3 (Homo sapiens OX%3D9606)	"InterPro:IPR000884,InterPro:IPR003961,InterPro:IPR013099,Pfam:PF00041,Pfam:PF00090,Pfam:PF07885"	GO:0005515
NVEC200_009168_1.1	Neo1	Receptor-type tyrosine-protein phosphatase S	Neogenin (Fragment) (Rattus norvegicus OX%3D10116)	"InterPro:IPR003961,InterPro:IPR013099,Pfam:PF00041,Pfam:PF07885"	GO:0005515
NVEC200_009169_1.1		NVEC200_009169_1.1	Unknown protein		
NVEC200_009170_1.1	DCTN1	Cap-Gly domain-containing protein	Dynactin subunit 1 (Homo sapiens OX%3D9606)	"InterPro:IPR000938,Pfam:PF01302"	
NVEC200_009171_1.1	efhc2	EF-hand domain-containing family member C2	EF-hand domain-containing family member C2 (Danio rerio OX%3D7955)	"InterPro:IPR010554,Pfam:PF06565"	
NVEC200_009172_1.1	MGAT4C	"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A"	Alpha-1%2C3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C (Sus scrofa OX%3D9823)	Pfam:PF04666	
NVEC200_009173_1.1	Tbcel	Tubulin-specific chaperone cofactor E-like protein	Tubulin-specific chaperone cofactor E-like protein (Rattus norvegicus OX%3D10116)	Pfam:PF14580	
NVEC200_009174_1.1		NVEC200_009174_1.1	Integrase catalytic domain-containing protein	"InterPro:IPR005312,Pfam:PF03564"	
NVEC200_009175_1.1		NVEC200_009175_1.1	Frizzled-4	"InterPro:IPR020067,Pfam:PF01392"	
NVEC200_009176_1.1		NVEC200_009176_1.1	FZ domain-containing protein	"InterPro:IPR020067,Pfam:PF01392"	
NVEC200_009177_1.1		NVEC200_009177_1.1	FZ domain-containing protein	"InterPro:IPR020067,Pfam:PF01392"	
NVEC200_009178_1.1		NVEC200_009178_1.1	FZ domain-containing protein	"InterPro:IPR020067,Pfam:PF01392"	
NVEC200_009179_1.1		NVEC200_009179_1.1	Unknown protein		
NVEC200_009180_1.1		NVEC200_009180_1.1	Unknown protein		
NVEC200_009181_1.1		NVEC200_009181_1.1	Unknown protein		
NVEC200_009182_1.1	sox14	Transcription factor SOX-14	Transcription factor Sox-14 (Xenopus laevis OX%3D8355)	"InterPro:IPR009071,InterPro:IPR022097,Pfam:PF00505,Pfam:PF12336"	GO:0006355
NVEC200_009183_1.1	VPS37A	VPS37A subunit of ESCRT-I	Vacuolar protein sorting-associated protein 37A (Homo sapiens OX%3D9606)	"InterPro:IPR009851,Pfam:PF07200"	
NVEC200_009184_1.1	Npffr1	Neuropeptide Ff receptor	Neuropeptide FF receptor 1 (Rattus norvegicus OX%3D10116)	"InterPro:IPR017452,Pfam:PF00001"	GO:0016021
NVEC200_009185_1.1	Dock9	Dedicator of cytokinesis protein 9	Dedicator of cytokinesis protein 9 (Mus musculus OX%3D10090)	"InterPro:IPR001849,InterPro:IPR010703,InterPro:IPR021816,InterPro:IPR027007,Pfam:PF00169,Pfam:PF06920,Pfam:PF11878,Pfam:PF14429"	
NVEC200_009186_1.1		NVEC200_009186_1.1	EF-hand domain-containing protein		
NVEC200_009187_1.1		NVEC200_009187_1.1	Unknown protein		
NVEC200_009188_1.1		NVEC200_009188_1.1			
NVEC200_009189_1.1		NVEC200_009189_1.1			
NVEC200_009190_1.1	TY3B-I	Integrase catalytic domain-containing protein	Transposon Ty3-I Gag-Pol polyprotein (Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX%3D559292)	"InterPro:IPR041373,InterPro:IPR041588,Pfam:PF17917,Pfam:PF17921"	
NVEC200_009191_1.1	Dock9	Dedicator of cytokinesis 9b	Dedicator of cytokinesis protein 9 (Fragment) (Rattus norvegicus OX%3D10116)	"InterPro:IPR010703,Pfam:PF06920"	
NVEC200_009192_1.1		NVEC200_009192_1.1	EF-hand domain-containing protein		
NVEC200_009193_1.1		NVEC200_009193_1.1	Unknown protein		
NVEC200_009194_1.1		NVEC200_009194_1.1			
NVEC200_009195_1.1	DOCK9	Dedicator of cytokinesis protein 9-like	Dedicator of cytokinesis protein 9 (Homo sapiens OX%3D9606)	"InterPro:IPR010703,Pfam:PF06920"	
NVEC200_009196_1.1	K02A2.6	Integrase catalytic domain-containing protein	Uncharacterized protein K02A2.6 (Caenorhabditis elegans OX%3D6239)	"InterPro:IPR001584,InterPro:IPR041588,Pfam:PF00665,Pfam:PF17921"	GO:0015074
NVEC200_009197_1.1		NVEC200_009197_1.1	THAP domain-containing protein 4		
NVEC200_009198_1.1	SLC19A2	Thiamine transporter 2	Thiamine transporter 1 (Homo sapiens OX%3D9606)	"InterPro:IPR002666,Pfam:PF01770"	"GO:0016021,GO:0051180,GO:0090482"
NVEC200_009199_1.1	GCR1	G_PROTEIN_RECEP_F2_4 domain-containing protein	G-protein coupled receptor 1 (Arabidopsis thaliana OX%3D3702)	Pfam:PF05462	
NVEC200_009200_1.1	U2SURP	U2 snRNP-associated SURP motif-containing protein	U2 snRNP-associated SURP motif-containing protein (Homo sapiens OX%3D9606)	"InterPro:IPR000061,InterPro:IPR000504,InterPro:IPR006569,InterPro:IPR013170,Pfam:PF00076,Pfam:PF01805,Pfam:PF04818,Pfam:PF08312"	"GO:0003676,GO:0003723,GO:0006396"
NVEC200_009201_1.1	fam155b	Stretch-activated cation channel MID1	Transmembrane protein FAM155B (Xenopus tropicalis OX%3D8364)		
NVEC200_009202_1.1	CAPN5	Calpain-5 (Homo sapiens OX%3D9606)	Calpain-5 (Homo sapiens OX%3D9606)	"InterPro:IPR000008,InterPro:IPR001300,InterPro:IPR022682,Pfam:PF00168,Pfam:PF00648,Pfam:PF01067"	"GO:0004198,GO:0006508"
NVEC200_009203_1.1	Ankrd42	Ankyrin repeat domain-containing protein 42	Ankyrin repeat domain-containing protein 42 (Mus musculus OX%3D10090)	"InterPro:IPR020683,Pfam:PF12796,Pfam:PF13637"	
NVEC200_009204_1.1	BCL3	B-cell lymphoma 3-like protein	B-cell lymphoma 3 protein (Homo sapiens OX%3D9606)	"InterPro:IPR020683,Pfam:PF12796"	
NVEC200_009205_1.1	vimp	Selenoprotein S	Selenoprotein S (Danio rerio OX%3D7955)	"InterPro:IPR009703,Pfam:PF06936"	"GO:0006886,GO:0030176"
NVEC200_009206_1.1	vimp	Selenoprotein S	Selenoprotein S (Danio rerio OX%3D7955)	"InterPro:IPR009703,Pfam:PF06936"	"GO:0006886,GO:0030176"
NVEC200_009207_1.1	Bcl3	B-cell lymphoma 3-like protein	B-cell lymphoma 3 protein homolog (Mus musculus OX%3D10090)	"InterPro:IPR020683,Pfam:PF12796"	
NVEC200_009208_1.1	vat1	Zinc-binding dehydrogenase	Synaptic vesicle membrane protein VAT-1 homolog (Danio rerio OX%3D7955)	"InterPro:IPR013154,Pfam:PF08240,Pfam:PF13602"	GO:0055114
NVEC200_009209_1.1	USP2	Ubiquitin carboxyl-terminal hydrolase	Ubiquitin carboxyl-terminal hydrolase 2 (Gallus gallus OX%3D9031)	"InterPro:IPR001394,Pfam:PF00443"	"GO:0016579,GO:0036459"
NVEC200_009210_1.1		NVEC200_009210_1.1	Unknown protein	"InterPro:IPR003961,Pfam:PF00041"	GO:0005515
NVEC200_009211_1.1	daw1	Dynein assembly factor with WDR repeat domains 1	Dynein assembly factor with WDR repeat domains 1 (Xenopus tropicalis OX%3D8364)	"InterPro:IPR001680,Pfam:PF00400"	GO:0005515
NVEC200_009212_1.1	Pdcd10	Programmed cell death protein 10	Programmed cell death protein 10 (Rattus norvegicus OX%3D10116)	Pfam:PF06840	
NVEC200_009213_1.1	Vwde	von Willebrand factor D and EGF domain-containing protein (Mus musculus OX%3D10090)	von Willebrand factor D and EGF domain-containing protein (Mus musculus OX%3D10090)	"InterPro:IPR001846,Pfam:PF00094"	
NVEC200_009214_1.1	Oit3	von Willebrand factor D and EGF domain-containing protein	Oncoprotein-induced transcript 3 protein (Rattus norvegicus OX%3D10116)		
NVEC200_009215_1.1	C5orf34	Chromosome 5 open reading frame 34	Uncharacterized protein C5orf34 (Homo sapiens OX%3D9606)	"InterPro:IPR027830,InterPro:IPR027865,Pfam:PF15016,Pfam:PF15025"	
NVEC200_009216_1.1	CTHRC1	Collagen triple helix repeat-containing protein 1	Collagen triple helix repeat-containing protein 1 (Homo sapiens OX%3D9606)	"InterPro:IPR008160,Pfam:PF01391"	
NVEC200_009217_1.1	RPS19	40S ribosomal protein S19	40S ribosomal protein S19 (Branchiostoma belcheri OX%3D7741)	"InterPro:IPR001266,Pfam:PF01090"	"GO:0003735,GO:0005840,GO:0006412"
NVEC200_009218_1.1	pol	Reverse transcriptase domain-containing protein	Pro-Pol polyprotein (Feline foamy virus OX%3D53182)		
NVEC200_009219_1.1	DPOL	Unknown protein	DNA polymerase beta (African swine fever virus (isolate Pig/Portugal/Lis 60/1960) OX%3D82815)	"InterPro:IPR013158,Pfam:PF08210"	"GO:0008270,GO:0016814"
NVEC200_009220_1.1		NVEC200_009220_1.1	Unknown protein		
NVEC200_009221_1.1	ccdc39	Coiled-coil domain-containing protein 39	Coiled-coil domain-containing protein 39 (Xenopus tropicalis OX%3D8364)		
NVEC200_009222_1.1		NVEC200_009222_1.1	Unknown protein		
NVEC200_009223_1.1	CTHRC1	Collagen triple helix repeat-containing protein 1	Collagen triple helix repeat-containing protein 1 (Homo sapiens OX%3D9606)	"InterPro:IPR008160,Pfam:PF01391"	
NVEC200_009224_1.1		NVEC200_009224_1.1	Unknown protein	"InterPro:IPR013158,Pfam:PF08210"	"GO:0008270,GO:0016814"
NVEC200_009225_1.1	ccdc39	Coiled-coil domain-containing protein 39	Coiled-coil domain-containing protein 39 (Xenopus tropicalis OX%3D8364)		
NVEC200_009226_1.1	Hmcn2	Neural cell adhesion molecule 1-A	Hemicentin-2 (Mus musculus OX%3D10090)	Pfam:PF13927	
NVEC200_009227_1.1	Hmcn1	Heparan sulfate proteoglycan 2	Hemicentin-1 (Mus musculus OX%3D10090)	Pfam:PF13927	
NVEC200_009228_1.1	ETFB	Electron transfer flavoprotein subunit beta	Electron transfer flavoprotein subunit beta (Homo sapiens OX%3D9606)	"InterPro:IPR014730,Pfam:PF01012"	
NVEC200_009229_1.1	ccdc153	ETF domain-containing protein	Coiled-coil domain-containing protein 153 (Danio rerio OX%3D7955)		
NVEC200_009230_1.1	SLC1A1	Amino acid transporter	Excitatory amino acid transporter 3 (Oryctolagus cuniculus OX%3D9986)	"InterPro:IPR001991,Pfam:PF00375"	"GO:0015293,GO:0016021"
NVEC200_009231_1.1	GYG2	Glycogenin-2 (Homo sapiens OX%3D9606)	Glycogenin-2 (Homo sapiens OX%3D9606)	"InterPro:IPR002495,Pfam:PF01501"	GO:0016757
NVEC200_009232_1.1	ERICH6	Neurogenic locus Notch protein	Glutamate-rich protein 6 (Homo sapiens OX%3D9606)	"InterPro:IPR029281,Pfam:PF14977"	
NVEC200_009233_1.1	ERICH6	Neurogenic locus Notch protein	Glutamate-rich protein 6 (Homo sapiens OX%3D9606)	"InterPro:IPR029281,Pfam:PF14977"	
NVEC200_009234_1.1	pep7	FYVE-type domain-containing protein	Vacuolar segregation protein pep7 (Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX%3D284812)	"InterPro:IPR000306,Pfam:PF01363"	GO:0046872
NVEC200_009235_1.1	ARSJ	Arylsulfatase B	Arylsulfatase J (Homo sapiens OX%3D9606)	"InterPro:IPR000917,Pfam:PF00884"	GO:0008484
NVEC200_009236_1.1	tubgcp3	Gamma-tubulin complex component	Gamma-tubulin complex component 3 homolog (Xenopus laevis OX%3D8355)	"InterPro:IPR040457,InterPro:IPR041470,Pfam:PF04130,Pfam:PF17681"	GO:0043015
NVEC200_009237_1.1		NVEC200_009237_1.1	Unknown protein		
NVEC200_009238_1.1		NVEC200_009238_1.1	Unknown protein		
NVEC200_009239_1.1	INTS4	Integrator complex subunit 4	Integrator complex subunit 4 (Homo sapiens OX%3D9606)	"InterPro:IPR026003,Pfam:PF12765"	
NVEC200_009240_1.1	Farp2	"FERM,RhoGEF and pleckstrin domain-containing protein 2"	FERM%2C ARHGEF and pleckstrin domain-containing protein 2 (Mus musculus OX%3D10090)	"InterPro:IPR000219,InterPro:IPR001849,InterPro:IPR014847,InterPro:IPR018979,InterPro:IPR018980,InterPro:IPR019748,Pfam:PF00169,Pfam:PF00373,Pfam:PF00621,Pfam:PF08736,Pfam:PF09379,Pfam:PF09380"	GO:0005085
NVEC200_009241_1.1	TSSK1B	Testis-specific serine/threonine-protein kinase 1	Testis-specific serine/threonine-protein kinase 1 (Bos taurus OX%3D9913)	"InterPro:IPR000719,Pfam:PF00069"	"GO:0004672,GO:0005524,GO:0006468"
